,Parameter,p_value,PASS_Mean,FAIL_Mean
0,ActCycleTime,1.8487633943821304e-24,4112.476032419915,3774.7319733387194
1,ActBreakawayDisp,3.0368887510028286e-07,90.25704361250483,89.89133508382145
2,ActClampFastOpenTime,0.0003913589143643685,94.1178695484369,94.13795192890325
3,ActClpOpnTime,9.895679578385255e-10,199.1724430721729,198.7408604322359
4,ActCoolingTime,3.7630785015372007e-45,1069.036510999614,801.2625732175318
5,ActCurrentServodrive_1,0.0385612449678535,2.0462369741412583,-5.9222379317309635
6,ActCushionPosition,8.297868072456001e-44,485.630258587418,390.0080791759241
7,ActCycleCount,0.0,11693.58062524122,11297.391840032316
8,ActFeedTemp,5.098754585142021e-156,283.1991509069857,293.2486366390628
9,ActFill,4.618703280222112e-47,204.97005017367812,194.74368814380932
10,ActFillTime[0],1.3288282103721486e-87,38.12203782323427,43.17168248838618
11,ActFillTime[1],3.7422967842571244e-207,55.98147433423389,42.17047061199758
12,ActFillTime[2],1.8750888952188946e-06,116.26167502894636,115.04645526156332
13,ActInjectionPos,1.4839748168130457e-09,537.4526437668853,482.28721470410017
14,ActInjFillSpd,0.0,288.08375144731764,355.21833972934763
15,ActInjFwdStagePos_0,3.417272349920038e-43,1328.0603627942878,1293.2961017976165
16,ActInjFwdStagePos_1,0.001521493496845316,1186.7189502122733,1179.1383558876994
17,Inj_Act_Prs[0],7.608914968134964e-196,1151.4199922809726,1299.0801858210461
18,Inj_Act_Prs[1],0.0,635.5451177151679,989.0412037972127
19,Inj_Act_Prs[2],0.00012286018289193377,1312.8538016209957,1297.7943849727328
20,ActInjFwdStagePrs_0,2.5153892972651132e-189,1149.9149363180238,1296.878610381741
21,ActInjFwdStagePrs_1,0.0,634.7371671169433,986.8091294687941
22,ActInjFwdStagePrs_2,2.9176854935365503e-05,1312.1189502122731,1295.3641688547768
23,ActInjFwdStageTime_0,2.68779838386865e-82,37.91200308761096,42.87618662896384
24,ActInjFwdStageTime_1,1.1020210130878294e-204,55.68413739868777,41.882044031508784
25,ActInjFwdStageTime_2,7.298096018880998e-06,115.64731763797761,114.318723490204
26,ActMotorRPMServodrive_0,0.03493325116757313,314.83404091084526,298.34195112098564
27,ActMPPTime,2.6530692521187936e-98,55.01628714781938,55.46031104827308
28,ActNozzleCurrent,1.5957560898557677e-09,6.859204940177538,5.426984447586346
29,ActNozzlePIDPer,7.476518368302598e-22,8.935468930914706,7.085841244193093
30,ActNozzleTemp,0.0,2650.5186414511772,2566.149262775197
31,Actoiltemp,0.0,260.09988421458894,288.6521914764694
32,ActPosOfMaxInjPrs,1.211342546310432e-185,1485.418294094944,1597.5709957584327
33,ActPosOfMaxInjPrsPos,2.110134562177219e-224,1013.4843689695099,1136.0864471823875
34,ActRearSuckbackSpd,3.1413130104971903e-11,10.204862987263605,10.252474247626742
35,ActRefillTime,1.227972407816673e-06,1917.4640679274412,1898.780650373662
36,ActSysPrsServodrive_0,9.221506382337927e-09,496.2656117329216,534.2205615027267
37,ActSysPrsServodrive_1,1.5947570569321694e-12,443.05256657661135,485.62613613411435
38,ActTempServodrive_0,2.3451396064221326e-59,31.987263604785795,32.77216723894163
39,ActTempServodrive_1,1.3901874460520036e-46,31.335160169818604,32.000605938194305
40,ActTempServoMotor_0,3.0598141539212984e-08,39.414743342338866,39.80569581902646
41,ActTempServoMotor_1,3.334940575297448e-08,37.995677344654574,38.34457685316098
42,ActCCprs,4.0146996060438884e-07,182.4670011578541,204.0038376085639
43,ActZone2Temp,1.0955965865373714e-274,2429.879814743342,2426.3114522318724
44,ActZone3Temp,6.374023592494706e-166,2490.0422230798918,2488.593415471622
45,ActZone4Temp,2.7084901221185822e-18,2540.036742570436,2540.194910119168
46,ActZone5Temp,1.9969208404061705e-54,353.6951756078734,362.5960412037972
47,ActZone6Temp,1.4958948265540438e-54,359.863681976071,368.72894364774794
